week,warehouse,inv_begin,L,U,Q_OA_allocated,Q_OA_received,PLT_in,PLT_out,delta_I,inventory_end,surplus_E,backorder,shortage,overstock,PLT_detail
1,WH01,50,31,77,20.0,0,0,0.0,2,52.0,21.0,0.0,0.0,0.0,
1,WH02,50,45,81,30.0,0,0,0.0,-6,44.0,0.0,0.0,1.0,0.0,
1,WH03,130,116,176,65.0,0,0,50.0,-2,78.0,50.0,0.0,38.0,0.0,WH05: 50.0
1,WH04,150,135,196,30.0,0,0,0.0,4,154.0,19.0,0.0,0.0,0.0,
1,WH05,0,0,42,0.0,0,0,0.0,3,3.0,3.0,0.0,0.0,0.0,
1,WH06,10,2,34,10.0,0,0,0.0,-4,6.0,4.0,0.0,0.0,0.0,
2,WH01,52.0,31,77,0.0,0,0,0.0,-6,46.0,15.0,0.0,0.0,0.0,
2,WH02,44.0,45,81,10.0,0,0,0.0,-5,39.0,0.0,0.0,6.0,0.0,
2,WH03,78.0,116,176,60.0,0,0,0.0,-7,71.0,0.0,0.0,45.0,0.0,
2,WH04,154.0,135,196,70.0,0,0,10.0,-8,136.0,10.0,0.0,0.0,0.0,WH06: 10.0
2,WH05,3.0,0,42,0.0,0,0,0.0,-8,-5.0,0.0,5.0,5.0,0.0,
2,WH06,6.0,2,34,2.0,0,0,0.0,-6,0.0,0.0,0.0,2.0,0.0,
3,WH01,46.0,31,77,0.0,0,0,0.0,-5,41.0,10.0,0.0,0.0,0.0,
3,WH02,39.0,45,81,0.0,0,0,0.0,3,42.0,0.0,0.0,3.0,0.0,
3,WH03,71.0,116,176,0.0,0,0,0.0,-15,56.0,0.0,0.0,60.0,0.0,
3,WH04,136.0,135,196,0.0,0,0,0.0,-5,131.0,0.0,0.0,4.0,0.0,
3,WH05,-5.0,0,42,0.0,0,50.0,0.0,-19,26.0,26.0,0.0,0.0,0.0,from WH03: 50.0
3,WH06,0.0,2,34,180.0,0,0,0.0,3,3.0,1.0,0.0,0.0,0.0,
4,WH01,41.0,31,77,0.0,0,0,0.0,-4,37.0,6.0,0.0,0.0,0.0,
4,WH02,42.0,45,81,2.0,0,0,0.0,-20,22.0,0.0,0.0,23.0,0.0,
4,WH03,56.0,116,176,0.0,0,0,0.0,6,62.0,0.0,0.0,54.0,0.0,
4,WH04,131.0,135,196,160.0,0,0,0.0,-2,129.0,0.0,0.0,6.0,0.0,
4,WH05,26.0,0,42,0.0,0,0,0.0,-3,23.0,23.0,0.0,0.0,0.0,
4,WH06,3.0,2,34,0.0,0,10.0,0.0,-6,7.0,5.0,0.0,0.0,0.0,from WH04: 10.0
5,WH01,37.0,31,77,0.0,0,0,0.0,-6,31.0,0.0,0.0,0.0,0.0,
5,WH02,22.0,45,81,0.0,0,0,0.0,9,31.0,0.0,0.0,14.0,0.0,
5,WH03,62.0,116,176,120.0,0,0,0.0,-5,57.0,0.0,0.0,59.0,0.0,
5,WH04,129.0,135,196,0.0,0,0,0.0,-6,123.0,0.0,0.0,12.0,0.0,
5,WH05,23.0,0,42,0.0,0,0,0.0,-7,16.0,16.0,0.0,0.0,0.0,
5,WH06,7.0,2,34,0.0,0,0,0.0,8,15.0,13.0,0.0,0.0,0.0,
6,WH01,31.0,31,77,0.0,0,0,0.0,-5,26.0,0.0,0.0,5.0,0.0,
6,WH02,31.0,45,81,0.0,0,0,0.0,2,33.0,0.0,0.0,12.0,0.0,
6,WH03,57.0,116,176,0.0,0,0,0.0,-3,54.0,0.0,0.0,62.0,0.0,
6,WH04,123.0,135,196,1.0,0,0,0.0,0,123.0,0.0,0.0,12.0,0.0,
6,WH05,16.0,0,42,0.0,0,0,0.0,-8,8.0,8.0,0.0,0.0,0.0,
6,WH06,15.0,2,34,160.0,0,0,0.0,-2,13.0,11.0,0.0,0.0,0.0,
7,WH01,26.0,31,77,0.0,0,0,0.0,-4,22.0,0.0,0.0,9.0,0.0,
7,WH02,33.0,45,81,6.0,0,0,0.0,-7,26.0,0.0,0.0,19.0,0.0,
7,WH03,54.0,116,176,90.0,0,0,0.0,-3,51.0,0.0,0.0,65.0,0.0,
7,WH04,123.0,135,196,0.0,0,0,0.0,-2,121.0,0.0,0.0,14.0,0.0,
7,WH05,8.0,0,42,0.0,0,0,0.0,10,18.0,18.0,0.0,0.0,0.0,
7,WH06,13.0,2,34,0.0,0,0,0.0,-5,8.0,6.0,0.0,0.0,0.0,
8,WH01,22.0,31,77,180.0,0,0,0.0,6,28.0,0.0,0.0,3.0,0.0,
8,WH02,26.0,45,81,2.0,0,0,0.0,-4,22.0,0.0,0.0,23.0,0.0,
8,WH03,51.0,116,176,0.0,0,0,0.0,-5,46.0,0.0,0.0,70.0,0.0,
8,WH04,121.0,135,196,0.0,0,0,0.0,-4,117.0,0.0,0.0,18.0,0.0,
8,WH05,18.0,0,42,0.0,0,0,0.0,7,25.0,25.0,0.0,0.0,0.0,
8,WH06,8.0,2,34,0.0,0,0,0.0,-8,0.0,0.0,0.0,2.0,0.0,
9,WH01,28.0,31,77,9.0,20.0,0,0.0,-6,42.0,11.0,0.0,0.0,0.0,
9,WH02,22.0,45,81,0.0,30.0,0,0.0,-6,46.0,1.0,0.0,0.0,0.0,
9,WH03,46.0,116,176,0.0,65.0,0,0.0,5,116.0,0.0,0.0,0.0,0.0,
9,WH04,117.0,135,196,0.0,30.0,0,0.0,-4,143.0,8.0,0.0,0.0,0.0,
9,WH05,25.0,0,42,0.0,0.0,0,0.0,-4,21.0,21.0,0.0,0.0,0.0,
9,WH06,0.0,2,34,90.0,10.0,0,0.0,-3,7.0,5.0,0.0,0.0,0.0,
10,WH01,42.0,31,77,0.0,0.0,0,0.0,-2,40.0,9.0,0.0,0.0,0.0,
10,WH02,46.0,45,81,3.0,10.0,0,0.0,-3,53.0,8.0,0.0,0.0,0.0,
10,WH03,116.0,116,176,0.0,60.0,0,0.0,-2,174.0,58.0,0.0,0.0,0.0,
10,WH04,143.0,135,196,0.0,70.0,0,10.0,-15,188.0,53.0,0.0,0.0,0.0,WH06: 10.0
10,WH05,21.0,0,42,180.0,0.0,0,0.0,-7,14.0,14.0,0.0,0.0,0.0,
10,WH06,7.0,2,34,0.0,2.0,0,0.0,-5,4.0,2.0,0.0,0.0,0.0,
