week,warehouse,overstock_cost,shortage_cost,backorder_cost,penalty_OA_cost,PLT_penalty_cost,transport_cost,total_cost
1,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WH02,0.0,1.0,3000.0,0.0,0.0,0.0,3001.0
1,WH03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WH04,0.0,4.0,0.0,0.0,0.0,0.0,4.0
1,WH05,0.0,5.0,0.0,2000.0,2000.0,300.0,4305.0
1,WH06,0.0,32.0,0.0,0.0,2000.0,1620.0,3652.0
2,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WH02,0.0,4.5,13500.0,2000.0,0.0,0.0,15504.5
2,WH03,0.0,2.0,6000.0,0.0,0.0,0.0,6002.0
2,WH04,0.0,4.0,0.0,0.0,0.0,720.0,724.0
2,WH05,0.0,6.0,0.0,0.0,0.0,0.0,6.0
2,WH06,0.0,44.0,0.0,0.0,0.0,0.0,44.0
3,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WH02,0.0,0.0,0.0,0.0,0.0,180.0,180.0
3,WH03,0.0,1.0,3000.0,2000.0,0.0,0.0,5001.0
3,WH04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WH05,0.0,7.0,0.0,0.0,0.0,0.0,7.0
3,WH06,0.0,48.0,0.0,0.0,0.0,0.0,48.0
4,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,WH02,0.0,2.0,6000.0,0.0,0.0,0.0,6002.0
4,WH03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,WH04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,WH05,0.0,11.0,1500.0,0.0,0.0,0.0,1511.0
4,WH06,0.0,50.0,0.0,2000.0,0.0,0.0,2050.0
5,WH01,0.0,1.0,3000.0,0.0,0.0,0.0,3001.0
5,WH02,0.0,3.5,10500.0,0.0,0.0,0.0,10503.5
5,WH03,0.0,0.0,0.0,2000.0,0.0,0.0,2000.0
5,WH04,0.0,8.0,7500.0,0.0,0.0,0.0,7508.0
5,WH05,0.0,7.5,0.0,0.0,0.0,0.0,7.5
5,WH06,0.0,51.0,0.0,0.0,0.0,0.0,51.0
6,WH01,0.0,5.0,15000.0,0.0,0.0,0.0,15005.0
6,WH02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,WH03,0.0,11.0,33000.0,0.0,0.0,0.0,33011.0
6,WH04,0.0,11.5,18000.0,2000.0,0.0,0.0,20011.5
6,WH05,0.0,11.0,1500.0,0.0,0.0,0.0,1511.0
6,WH06,0.0,54.5,10500.0,0.0,0.0,0.0,10554.5
7,WH01,0.0,8.0,24000.0,0.0,0.0,0.0,24008.0
7,WH02,0.0,1.0,3000.0,0.0,0.0,0.0,3001.0
7,WH03,0.0,13.0,39000.0,2000.0,0.0,0.0,41013.0
7,WH04,0.0,12.5,21000.0,0.0,0.0,0.0,21012.5
7,WH05,0.0,19.0,25500.0,0.0,0.0,0.0,25519.0
7,WH06,0.0,57.5,19500.0,0.0,0.0,0.0,19557.5
8,WH01,0.0,12.0,36000.0,0.0,0.0,0.0,36012.0
8,WH02,0.0,3.5,10500.0,0.0,0.0,0.0,10503.5
8,WH03,0.0,15.5,46500.0,0.0,0.0,0.0,46515.5
8,WH04,0.0,11.0,16500.0,0.0,0.0,0.0,16511.0
8,WH05,0.0,21.0,31500.0,2000.0,0.0,0.0,33521.0
8,WH06,0.0,59.5,25500.0,0.0,0.0,0.0,25559.5
9,WH01,0.0,0.5,1500.0,0.0,0.0,0.0,1500.5
9,WH02,0.0,1.0,3000.0,0.0,0.0,0.0,3001.0
9,WH03,0.0,3.0,9000.0,2000.0,0.0,0.0,11003.0
9,WH04,0.0,7.5,6000.0,0.0,0.0,0.0,6007.5
9,WH05,0.0,10.5,0.0,0.0,0.0,0.0,10.5
9,WH06,0.0,54.5,10500.0,0.0,0.0,0.0,10554.5
10,WH01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,WH02,0.0,0.0,0.0,2000.0,0.0,0.0,2000.0
10,WH03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,WH04,0.0,5.5,0.0,0.0,0.0,0.0,5.5
10,WH05,0.0,4.0,0.0,0.0,0.0,0.0,4.0
10,WH06,0.0,38.5,0.0,0.0,0.0,0.0,38.5
