week,warehouse,inv_begin,L,U,Q_OA_allocated,Q_OA_received,PLT_in,PLT_out,delta_I,inventory_end,surplus_E,backorder,shortage,overstock,PLT_detail
1,WH01,0,0,42,30.0,0,0,0.0,10,10.0,10.0,0.0,0.0,0.0,
1,WH02,5,0,42,10.0,0,0,0.0,-7,-2.0,0.0,2.0,2.0,0.0,
1,WH03,10,0,52,30.0,0,0,0.0,-7,3.0,3.0,0.0,0.0,0.0,
1,WH04,20,11,65,10.0,0,0,0.0,-17,3.0,0.0,0.0,8.0,0.0,
1,WH05,35,21,78,28.0,0,0,22.0,-2,11.0,22.0,0.0,10.0,0.0,WH04: 22.0
1,WH06,120,102,160,0.0,0,0,75.0,-7,38.0,75.0,0.0,64.0,0.0,WH02: 45.0 | WH03: 30.0
2,WH01,10.0,0,42,10.0,0,0,0.0,-4,6.0,6.0,0.0,0.0,0.0,
2,WH02,-2.0,0,42,8.0,0,0,0.0,-7,-9.0,0.0,9.0,9.0,0.0,
2,WH03,3.0,0,52,20.0,0,0,0.0,-7,-4.0,0.0,4.0,4.0,0.0,
2,WH04,3.0,11,65,30.0,0,0,10.0,10,3.0,10.0,0.0,8.0,0.0,WH01: 10.0
2,WH05,11.0,21,78,20.0,0,0,0.0,-2,9.0,0.0,0.0,12.0,0.0,
2,WH06,38.0,102,160,30.0,0,0,0.0,-24,14.0,0.0,0.0,88.0,0.0,
3,WH01,6.0,0,42,100.0,0,0,0.0,-6,0.0,0.0,0.0,0.0,0.0,
3,WH02,-9.0,0,42,0.0,0,45.0,20.0,-16,0.0,20.0,0.0,0.0,0.0,WH01: 20.0 | from WH06: 45.0
3,WH03,-4.0,0,52,6.0,0,30.0,0.0,-28,-2.0,0.0,2.0,2.0,0.0,from WH06: 30.0
3,WH04,3.0,11,65,0.0,0,22.0,0.0,-6,19.0,8.0,0.0,0.0,0.0,from WH05: 22.0
3,WH05,9.0,21,78,0.0,0,0,0.0,-2,7.0,0.0,0.0,14.0,0.0,
3,WH06,14.0,102,160,0.0,0,0,0.0,-8,6.0,0.0,0.0,96.0,0.0,
4,WH01,0.0,0,42,0.0,0,10.0,0.0,-3,7.0,7.0,0.0,0.0,0.0,from WH04: 10.0
4,WH02,0.0,0,42,0.0,0,0,0.0,-4,-4.0,0.0,4.0,4.0,0.0,
4,WH03,-2.0,0,52,0.0,0,0,0.0,3,1.0,1.0,0.0,0.0,0.0,
4,WH04,19.0,11,65,0.0,0,0,0.0,-8,11.0,0.0,0.0,0.0,0.0,
4,WH05,7.0,21,78,0.0,0,0,0.0,-8,-1.0,0.0,1.0,22.0,0.0,
4,WH06,6.0,102,160,82.0,0,0,0.0,-4,2.0,0.0,0.0,100.0,0.0,
5,WH01,7.0,0,42,0.0,0,20.0,0.0,-29,-2.0,0.0,2.0,2.0,0.0,from WH02: 20.0
5,WH02,-4.0,0,42,0.0,0,0,0.0,-3,-7.0,0.0,7.0,7.0,0.0,
5,WH03,1.0,0,52,99.0,0,0,0.0,6,7.0,7.0,0.0,0.0,0.0,
5,WH04,11.0,11,65,0.0,0,0,0.0,-16,-5.0,0.0,5.0,16.0,0.0,
5,WH05,-1.0,21,78,0.0,0,0,0.0,7,6.0,0.0,0.0,15.0,0.0,
5,WH06,2.0,102,160,0.0,0,0,0.0,-2,0.0,0.0,0.0,102.0,0.0,
6,WH01,-2.0,0,42,0.0,0,0,0.0,-8,-10.0,0.0,10.0,10.0,0.0,
6,WH02,-7.0,0,42,0.0,0,0,0.0,10,3.0,3.0,0.0,0.0,0.0,
6,WH03,7.0,0,52,0.0,0,0,0.0,-29,-22.0,0.0,22.0,22.0,0.0,
6,WH04,-5.0,11,65,6.0,0,0,0.0,-7,-12.0,0.0,12.0,23.0,0.0,
6,WH05,6.0,21,78,80.0,0,0,0.0,-7,-1.0,0.0,1.0,22.0,0.0,
6,WH06,0.0,102,160,0.0,0,0,0.0,-7,-7.0,0.0,7.0,109.0,0.0,
